연도,행정동코드,행정동명,업종,예측_총매출,순위
2025,11110515,청운효자동,조명용품,5775176321.962169,1.0
2025,11110515,청운효자동,커피-음료,4306591508.6546,2.0
2025,11110515,청운효자동,한식음식점,3738616831.247842,3.0
2025,11110515,청운효자동,서적,3597058048.797694,4.0
2025,11110515,청운효자동,양식음식점,2744974863.772237,5.0
2025,11110515,청운효자동,슈퍼마켓,2040304023.0504088,6.0
2025,11110515,청운효자동,편의점,1719586309.72508,7.0
2025,11110515,청운효자동,의료기기,1307926987.628167,8.0
2025,11110515,청운효자동,컴퓨터및주변장치판매,1212852026.4061897,9.0
2025,11110515,청운효자동,스포츠클럽,1031641347.1026292,10.0
2025,11110515,청운효자동,가전제품,966580449.1239618,11.0
2025,11110515,청운효자동,의약품,886444185.6279291,12.0
2025,11110515,청운효자동,화장품,646462059.894753,13.0
2025,11110515,청운효자동,호프-간이주점,632078043.0640916,14.0
2025,11110515,청운효자동,분식전문점,581437008.2745752,15.0
2025,11110515,청운효자동,일반의원,569132165.6804441,16.0
2025,11110515,청운효자동,청과상,569003512.6457835,17.0
2025,11110515,청운효자동,일반교습학원,516262563.0575438,18.0
2025,11110515,청운효자동,제과점,475868721.7154387,19.0
2025,11110515,청운효자동,한의원,452125136.0521443,20.0
2025,11110515,청운효자동,반찬가게,421048000.0221103,21.0
2025,11110515,청운효자동,부동산중개업,372292042.892055,22.0
2025,11110515,청운효자동,스포츠 강습,371739322.709574,23.0
2025,11110515,청운효자동,일식음식점,343806600.6650289,24.0
2025,11110515,청운효자동,일반의류,339831707.76619357,25.0
2025,11110515,청운효자동,치과의원,288205208.754469,26.0
2025,11110515,청운효자동,육류판매,265508837.42237666,27.0
2025,11110515,청운효자동,중식음식점,262447398.65958115,28.0
2025,11110515,청운효자동,자전거 및 기타운송장비,260504474.26199305,29.0
2025,11110515,청운효자동,전자상거래업,254539476.8186529,30.0
2025,11110515,청운효자동,화초,245650948.9520491,31.0
2025,11110515,청운효자동,자동차수리,241994342.87783712,32.0
2025,11110515,청운효자동,미용실,240919652.64859247,33.0
2025,11110515,청운효자동,자동차미용,235873064.97351348,34.0
2025,11110515,청운효자동,섬유제품,228664417.3953135,35.0
2025,11110515,청운효자동,패스트푸드점,217201473.07960352,36.0
2025,11110515,청운효자동,애완동물,206317377.73065963,37.0
2025,11110515,청운효자동,안경,199489595.95195112,38.0
2025,11110515,청운효자동,노래방,195272798.8107009,39.0
2025,11110515,청운효자동,인테리어,175787480.30786097,40.0
2025,11110515,청운효자동,PC방,172299792.79524735,41.0
2025,11110515,청운효자동,치킨전문점,140444055.37301067,42.0
2025,11110515,청운효자동,철물점,135906657.8957588,43.0
2025,11110515,청운효자동,운동/경기용품,130547444.99835294,44.0
2025,11110515,청운효자동,완구,112680584.38694756,45.0
2025,11110515,청운효자동,피부관리실,111696033.47354181,46.0
2025,11110515,청운효자동,가구,108434810.05650897,47.0
2025,11110515,청운효자동,예술학원,98894163.04529636,48.0
2025,11110515,청운효자동,신발,94450349.05677785,49.0
2025,11110515,청운효자동,핸드폰,86382043.4219144,50.0
2025,11110515,청운효자동,여관,84664545.00306965,51.0
2025,11110515,청운효자동,수산물판매,82570497.13487633,52.0
2025,11110515,청운효자동,세탁소,73215430.70255032,53.0
2025,11110515,청운효자동,네일숍,58338671.71497654,54.0
2025,11110515,청운효자동,골프연습장,58338671.71497654,54.0
2025,11110515,청운효자동,외국어학원,55571248.42564579,56.0
2025,11110515,청운효자동,당구장,41528881.61364877,57.0
2025,11110515,청운효자동,미곡판매,39107841.890454195,58.0
2025,11110515,청운효자동,가전제품수리,20256821.7320583,59.0
